x,y,LOCAL_DATE,UTC_YEAR,STATION_PRESSURE,PRECIP_AMOUNT_FLAG,WEATHER_FRE_DESC,WIND_SPEED,VISIBILITY_FLAG,LOCAL_MONTH,LOCAL_HOUR,TEMP_FLAG,LOCAL_DAY,STATION_PRESSURE_FLAG,DEW_POINT_TEMP,DEW_POINT_TEMP_FLAG,UTC_DATE,WIND_DIRECTION,STATION_NAME,LOCAL_YEAR,UTC_MONTH,HUMIDEX_FLAG,WINDCHILL,PROVINCE_CODE,WEATHER_ENG_DESC,WIND_SPEED_FLAG,TEMP,RELATIVE_HUMIDITY,RELATIVE_HUMIDITY_FLAG,WIND_DIRECTION_FLAG,UTC_DAY,HUMIDEX,PRECIP_AMOUNT,ID,WINDCHILL_FLAG,VISIBILITY,CLIMATE_IDENTIFIER
-113.57944444444445,53.31,2015-01-02 17:00:00,2015,93.71,,Neige,14,,1,17,,2,,-22.9,,2015-01-03T00:00:00,34,EDMONTON INTL A,2015,1,,-28,AB,Snow,,-19.5,75,,,3,,,3012216.2015.1.2.17,,12.9,3012216
-113.57944444444445,53.31,2015-01-02 18:00:00,2015,93.81,,Neige,14,,1,18,,2,,-24.1,,2015-01-03T01:00:00,33,EDMONTON INTL A,2015,1,,-30,AB,Snow,,-20.8,75,,,3,,,3012216.2015.1.2.18,,16.1,3012216
-113.57944444444445,53.31,2015-01-02 19:00:00,2015,93.89,,Cristaux de glace,10,,1,19,,2,,-24.3,,2015-01-03T02:00:00,32,EDMONTON INTL A,2015,1,,-29,AB,Ice Crystals,,-21.1,76,,,3,,,3012216.2015.1.2.19,,19.3,3012216
-113.57944444444445,53.31,2015-01-02 20:00:00,2015,93.97,,Cristaux de glace,10,,1,20,,2,,-25.6,,2015-01-03T03:00:00,31,EDMONTON INTL A,2015,1,,-30,AB,Ice Crystals,,-22.6,77,,,3,,,3012216.2015.1.2.20,,24.1,3012216
-113.57944444444445,53.31,2015-01-02 21:00:00,2015,94.06,,Cristaux de glace,6,,1,21,,2,,-26.7,,2015-01-03T04:00:00,29,EDMONTON INTL A,2015,1,,-30,AB,Ice Crystals,,-24.0,79,,,3,,,3012216.2015.1.2.21,,24.1,3012216
-113.57944444444445,53.31,2015-01-02 22:00:00,2015,94.11,,Cristaux de glace,4,,1,22,,2,,-27.2,,2015-01-03T05:00:00,27,EDMONTON INTL A,2015,1,,-28,AB,Ice Crystals,,-24.5,79,,,3,,,3012216.2015.1.2.22,,24.1,3012216
-113.57944444444445,53.31,2015-01-02 23:00:00,2015,94.18,,Neige,4,,1,23,,2,,-29.3,,2015-01-03T06:00:00,24,EDMONTON INTL A,2015,1,,-30,AB,Snow,,-26.1,75,,,3,,,3012216.2015.1.2.23,,19.3,3012216
-113.57944444444445,53.31,2015-01-03 00:00:00,2015,94.22,,ND,5,,1,0,,3,,-27.5,,2015-01-03T07:00:00,26,EDMONTON INTL A,2015,1,,-29,AB,NA,,-24.5,77,,,3,,,3012216.2015.1.3.0,,19.3,3012216
-113.57944444444445,53.31,2015-01-03 01:00:00,2015,94.25,,Neige,4,,1,1,,3,,-27.2,,2015-01-03T08:00:00,28,EDMONTON INTL A,2015,1,,-28,AB,Snow,,-23.9,75,,,3,,,3012216.2015.1.3.1,,19.3,3012216
-113.57944444444445,53.31,2015-01-03 02:00:00,2015,94.29,,Neige,4,,1,2,,3,,-26.8,,2015-01-03T09:00:00,24,EDMONTON INTL A,2015,1,,-27,AB,Snow,,-23.5,75,,,3,,,3012216.2015.1.3.2,,12.9,3012216
